date,revenue,customers,orders,variable_cost,fixed_cost,marketing_spend,other_cost
2023-01-01,230995.59,259.0,259.0,128036.35,8258.59,8996.03,0.0
2023-02-01,169125.78,183.0,183.0,97248.64,7811.66,10161.24,0.0
2023-03-01,234645.2,237.0,237.0,127998.26,8056.93,9707.81,0.0
2023-04-01,198100.07,223.0,223.0,104993.59,7834.0,9196.19,0.0
2023-05-01,204197.5,230.0,230.0,114963.31,8228.15,8719.04,0.0
2023-06-01,225912.57,239.0,239.0,127181.17,7996.54,9267.82,0.0
2023-07-01,181482.8,211.0,211.0,98961.49,7940.66,8783.64,0.0
2023-08-01,220025.8,248.0,248.0,117283.66,7729.76,9766.37,0.0
2023-09-01,226240.35,241.0,241.0,125578.0,8273.67,8312.66,0.0
2023-10-01,317776.45,343.0,343.0,158183.44,8121.36,9121.63,0.0
2023-11-01,246887.33,273.0,273.0,139588.67,8121.48,8900.85,0.0
2023-12-01,247495.08,266.0,266.0,138824.2,8184.15,9502.55,0.0
2024-01-01,213148.15,273.0,273.0,109792.93,8056.07,9204.46,0.0
2024-02-01,255525.66,270.0,270.0,140884.44,7898.37,11614.19,0.0
2024-03-01,228859.79,267.0,267.0,121111.13,7872.98,10455.1,0.0
2024-04-01,237605.41,287.0,287.0,134701.77,7872.99,10453.1,0.0
2024-05-01,286427.94,314.0,314.0,145224.86,8222.24,7339.53,0.0
2024-06-01,281703.37,302.0,302.0,149371.71,7769.72,8698.87,0.0
2024-07-01,298597.54,339.0,339.0,168956.76,7905.15,8468.59,0.0
2024-08-01,269000.3,315.0,315.0,154954.5,7948.77,9492.45,0.0
2024-09-01,295174.46,328.0,328.0,148920.02,8036.02,7165.82,0.0
2024-10-01,338712.11,377.0,377.0,182617.15,8092.59,10121.63,0.0
2024-11-01,343028.38,355.0,355.0,191157.36,7802.62,10013.39,0.0
2024-12-01,311275.87,333.0,333.0,167080.2,7727.93,7901.22,0.0
