date,revenue,customers,orders,variable_cost,fixed_cost,marketing_spend,other_cost
2023-01-01,95555.41,183.0,183.0,33690.67,19705.33,5744.78,0.0
2023-02-01,99526.82,174.0,174.0,39566.55,20192.09,5592.75,0.0
2023-03-01,107861.31,177.0,177.0,42719.56,19969.39,5606.75,0.0
2023-04-01,76844.57,152.0,152.0,27590.02,19504.56,5526.99,0.0
2023-05-01,108255.97,215.0,215.0,41390.77,19649.09,5128.18,0.0
2023-06-01,104716.05,205.0,205.0,41775.03,20719.35,5844.27,0.0
2023-07-01,105527.12,184.0,184.0,40241.58,20142.24,6245.59,0.0
2023-08-01,112082.74,202.0,202.0,44329.1,20167.25,6570.56,0.0
2023-09-01,113895.25,196.0,196.0,47593.24,19889.68,6401.1,0.0
2023-10-01,105493.47,185.0,185.0,40529.19,19726.01,7671.35,0.0
2023-11-01,117159.42,211.0,211.0,44024.06,20359.86,6194.29,0.0
2023-12-01,106924.94,192.0,192.0,39397.45,19958.19,5732.35,0.0
2024-01-01,105208.48,193.0,193.0,41029.14,19698.65,7234.95,0.0
2024-02-01,107636.23,187.0,187.0,40581.17,19946.42,5403.45,0.0
2024-03-01,108482.09,209.0,209.0,40929.5,19641.02,6610.16,0.0
2024-04-01,108376.75,201.0,201.0,41010.13,20076.16,5453.43,0.0
2024-05-01,118911.63,214.0,214.0,46376.43,20456.83,6216.27,0.0
2024-06-01,118164.17,196.0,196.0,43027.41,19668.35,4927.93,0.0
2024-07-01,111104.36,210.0,210.0,39713.49,20579.66,6564.57,0.0
2024-08-01,101613.88,195.0,195.0,35031.27,19734.73,5905.8,0.0
2024-09-01,120739.59,226.0,226.0,48134.49,20061.46,5446.6,0.0
2024-10-01,124705.86,216.0,216.0,47528.31,19668.23,7096.5,0.0
2024-11-01,119715.13,220.0,220.0,48324.36,19911.3,6477.24,0.0
2024-12-01,131294.83,223.0,223.0,49874.17,20018.97,6027.55,0.0
