date,revenue,customers,orders,variable_cost,fixed_cost,marketing_spend,other_cost
2023-01-01,94259.25,308.0,308.0,43436.11,11806.97,3944.92,0.0
2023-02-01,103251.49,324.0,324.0,48149.3,12181.9,4013.22,0.0
2023-03-01,109455.04,315.0,315.0,49890.97,12060.98,3468.63,0.0
2023-04-01,96003.43,280.0,280.0,41810.48,12216.95,4135.37,0.0
2023-05-01,119675.66,338.0,338.0,55453.43,11917.43,3747.79,0.0
2023-06-01,116766.86,330.0,330.0,51501.66,11649.58,4360.29,0.0
2023-07-01,120117.14,309.0,309.0,55987.37,11973.63,3950.08,0.0
2023-08-01,113108.64,342.0,342.0,48762.89,11893.48,4276.82,0.0
2023-09-01,116707.93,340.0,340.0,54475.19,12187.53,4518.49,0.0
2023-10-01,132553.54,342.0,342.0,59601.24,12046.56,4156.14,0.0
2023-11-01,122468.64,339.0,339.0,52425.72,11614.91,3664.61,0.0
2023-12-01,129290.89,357.0,357.0,57454.95,11716.56,3437.91,0.0
2024-01-01,111328.64,326.0,326.0,50206.42,12214.0,4766.6,0.0
2024-02-01,111452.14,346.0,346.0,50703.71,12164.26,3955.73,0.0
2024-03-01,120393.32,341.0,341.0,52089.78,11847.32,3733.84,0.0
2024-04-01,132455.58,376.0,376.0,57022.43,11999.75,4058.12,0.0
2024-05-01,119896.35,364.0,364.0,54385.81,12107.42,3924.16,0.0
2024-06-01,121411.81,359.0,359.0,53624.74,12112.95,4355.8,0.0
2024-07-01,121816.98,349.0,349.0,55336.48,12212.15,4013.59,0.0
2024-08-01,123074.55,369.0,369.0,57091.96,12061.71,4005.5,0.0
2024-09-01,132723.72,381.0,381.0,55913.76,11977.26,3724.14,0.0
2024-10-01,132580.0,377.0,377.0,60271.18,11938.04,4192.31,0.0
2024-11-01,151667.91,433.0,433.0,71677.11,12256.07,3607.11,0.0
2024-12-01,145990.4,428.0,428.0,64918.46,11471.77,4275.42,0.0
